CSV_ID,CSV_NAME,CSV_DATE,CSV_FLAG,CSV_CHOICELIST,CSV_CHOICELIST_MULTI
223022,FORK PLATFORM 2.2.3 - 022,7/11/2023,Yes,item 2,"multi 1,multi 2,multi 3"
223023,FORK PLATFORM 2.2.3 - 023,6/11/2023,No,item 3,multi 1,multi 3,multi 5
223024,FORK PLATFORM 2.2.3 - 024,7/10/2023,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
223025,FORK PLATFORM 2.2.3 - 025,7/11/2023,Yes,item 5,"multi 1,multi 2,multi 3"
223026,FORK PLATFORM 2.2.3 - 026,6/11/2023,No,item 6,multi 1,multi 3,multi 5
223027,FORK PLATFORM 2.2.3 - 027,7/10/2023,Yes,item 7,"multi 2,multi 4,multi 6,multi 8,multi 10"
223028,FORK PLATFORM 2.2.3 - 028,7/11/2023,Yes,item 8,"multi 1,multi 2,multi 3"
223029,FORK PLATFORM 2.2.3 - 029,6/11/2023,No,item 9,multi 1,multi 3,multi 5
223030,FORK PLATFORM 2.2.3 - 030,7/10/2023,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
223031,FORK PLATFORM 2.2.3 - 031,7/11/2023,Yes,item 1,"multi 1,multi 2,multi 3"
223032,FORK PLATFORM 2.2.3 - 032,6/11/2023,No,item 2,multi 1,multi 3,multi 5
223033,FORK PLATFORM 2.2.3 - 033,7/10/2023,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
223034,FORK PLATFORM 2.2.3 - 034,7/11/2023,Yes,item 4,"multi 1,multi 2,multi 3"
223035,FORK PLATFORM 2.2.3 - 035,6/11/2023,No,item 5,multi 1,multi 3,multi 5
223036,FORK PLATFORM 2.2.3 - 036,7/10/2023,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
223037,FORK PLATFORM 2.2.3 - 037,7/11/2023,Yes,item 7,"multi 1,multi 2,multi 3"
223038,FORK PLATFORM 2.2.3 - 038,6/11/2023,No,item 8,multi 1,multi 3,multi 5
223039,FORK PLATFORM 2.2.3 - 039,7/10/2023,Yes,item 9,"multi 2,multi 4,multi 6,multi 8,multi 10"
223040,FORK PLATFORM 2.2.3 - 040,7/11/2023,Yes,item 10,"multi 1,multi 2,multi 3"
223041,FORK PLATFORM 2.2.3 - 041,6/11/2023,No,item 1,multi 1,multi 3,multi 5
223042,FORK PLATFORM 2.2.3 - 042,7/10/2023,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
223043,FORK PLATFORM 2.2.3 - 043,7/11/2023,Yes,item 3,"multi 1,multi 2,multi 3"
223044,FORK PLATFORM 2.2.3 - 044,6/11/2023,No,item 4,multi 1,multi 3,multi 5
223045,FORK PLATFORM 2.2.3 - 045,7/10/2023,Yes,item 5,"multi 2,multi 4,multi 6,multi 8,multi 10"
223046,FORK PLATFORM 2.2.3 - 046,7/11/2023,Yes,item 6,"multi 1,multi 2,multi 3"
223047,FORK PLATFORM 2.2.3 - 047,6/11/2023,No,item 7,multi 1,multi 3,multi 5
223048,FORK PLATFORM 2.2.3 - 048,7/10/2023,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
223049,FORK PLATFORM 2.2.3 - 049,7/11/2023,Yes,item 9,"multi 1,multi 2,multi 3"
223050,FORK PLATFORM 2.2.3 - 050,6/11/2023,No,item 10,multi 1,multi 3,multi 5
223051,FORK PLATFORM 2.2.3 - 051,7/10/2023,Yes,item 1,"multi 2,multi 4,multi 6,multi 8,multi 10"
223052,FORK PLATFORM 2.2.3 - 052,7/11/2023,Yes,item 2,"multi 1,multi 2,multi 3"
223053,FORK PLATFORM 2.2.3 - 053,6/11/2023,No,item 3,multi 1,multi 3,multi 5
223054,FORK PLATFORM 2.2.3 - 054,7/10/2023,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
223055,FORK PLATFORM 2.2.3 - 055,7/11/2023,Yes,item 5,"multi 1,multi 2,multi 3"
223056,FORK PLATFORM 2.2.3 - 056,6/11/2023,No,item 6,multi 1,multi 3,multi 5
223057,FORK PLATFORM 2.2.3 - 057,7/10/2023,Yes,item 7,"multi 2,multi 4,multi 6,multi 8,multi 10"
223058,FORK PLATFORM 2.2.3 - 058,7/11/2023,Yes,item 8,"multi 1,multi 2,multi 3"
223059,FORK PLATFORM 2.2.3 - 059,6/11/2023,No,item 9,multi 1,multi 3,multi 5
223060,FORK PLATFORM 2.2.3 - 060,7/10/2023,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
223061,FORK PLATFORM 2.2.3 - 061,7/11/2023,Yes,item 1,"multi 1,multi 2,multi 3"
223062,FORK PLATFORM 2.2.3 - 062,6/11/2023,No,item 2,multi 1,multi 3,multi 5
223063,FORK PLATFORM 2.2.3 - 063,7/10/2023,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
223064,FORK PLATFORM 2.2.3 - 064,7/11/2023,Yes,item 4,"multi 1,multi 2,multi 3"
223065,FORK PLATFORM 2.2.3 - 065,6/11/2023,No,item 5,multi 1,multi 3,multi 5
223066,FORK PLATFORM 2.2.3 - 066,7/10/2023,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
223067,FORK PLATFORM 2.2.3 - 067,7/11/2023,Yes,item 7,"multi 1,multi 2,multi 3"
223068,FORK PLATFORM 2.2.3 - 068,6/11/2023,No,item 8,multi 1,multi 3,multi 5
223069,FORK PLATFORM 2.2.3 - 069,7/10/2023,Yes,item 9,"multi 2,multi 4,multi 6,multi 8,multi 10"
223070,FORK PLATFORM 2.2.3 - 070,7/11/2023,Yes,item 10,"multi 1,multi 2,multi 3"
223071,FORK PLATFORM 2.2.3 - 071,6/11/2023,No,item 1,multi 1,multi 3,multi 5
223072,FORK PLATFORM 2.2.3 - 072,7/10/2023,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
223073,FORK PLATFORM 2.2.3 - 073,7/11/2023,Yes,item 3,"multi 1,multi 2,multi 3"
223074,FORK PLATFORM 2.2.3 - 074,6/11/2023,No,item 4,multi 1,multi 3,multi 5
223075,FORK PLATFORM 2.2.3 - 075,7/10/2023,Yes,item 5,"multi 2,multi 4,multi 6,multi 8,multi 10"
223076,FORK PLATFORM 2.2.3 - 076,7/11/2023,Yes,item 6,"multi 1,multi 2,multi 3"
223077,FORK PLATFORM 2.2.3 - 077,6/11/2023,No,item 7,multi 1,multi 3,multi 5
223078,FORK PLATFORM 2.2.3 - 078,7/10/2023,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
223079,FORK PLATFORM 2.2.3 - 079,7/11/2023,Yes,item 9,"multi 1,multi 2,multi 3"
223080,FORK PLATFORM 2.2.3 - 080,6/11/2023,No,item 10,multi 1,multi 3,multi 5
223081,FORK PLATFORM 2.2.3 - 081,7/10/2023,Yes,item 1,"multi 2,multi 4,multi 6,multi 8,multi 10"
223082,FORK PLATFORM 2.2.3 - 082,7/11/2023,Yes,item 2,"multi 1,multi 2,multi 3"
223083,FORK PLATFORM 2.2.3 - 083,6/11/2023,No,item 3,multi 1,multi 3,multi 5
223084,FORK PLATFORM 2.2.3 - 084,7/10/2023,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
223085,FORK PLATFORM 2.2.3 - 085,7/11/2023,Yes,item 5,"multi 1,multi 2,multi 3"
223086,FORK PLATFORM 2.2.3 - 086,6/11/2023,No,item 6,multi 1,multi 3,multi 5
223087,FORK PLATFORM 2.2.3 - 087,7/10/2023,Yes,item 7,"multi 2,multi 4,multi 6,multi 8,multi 10"
223088,FORK PLATFORM 2.2.3 - 088,7/11/2023,Yes,item 8,"multi 1,multi 2,multi 3"
223089,FORK PLATFORM 2.2.3 - 089,6/11/2023,No,item 9,multi 1,multi 3,multi 5
223090,FORK PLATFORM 2.2.3 - 090,7/10/2023,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
223091,FORK PLATFORM 2.2.3 - 091,7/11/2023,Yes,item 1,"multi 1,multi 2,multi 3"
223092,FORK PLATFORM 2.2.3 - 092,6/11/2023,No,item 2,multi 1,multi 3,multi 5
223093,FORK PLATFORM 2.2.3 - 093,7/10/2023,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
223094,FORK PLATFORM 2.2.3 - 094,7/11/2023,Yes,item 4,"multi 1,multi 2,multi 3"
223095,FORK PLATFORM 2.2.3 - 095,6/11/2023,No,item 5,multi 1,multi 3,multi 5
223096,FORK PLATFORM 2.2.3 - 096,7/10/2023,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
223097,FORK PLATFORM 2.2.3 - 097,7/11/2023,Yes,item 7,"multi 1,multi 2,multi 3"
223098,FORK PLATFORM 2.2.3 - 098,6/11/2023,No,item 8,multi 1,multi 3,multi 5
223099,FORK PLATFORM 2.2.3 - 099,7/10/2023,Yes,item 9,"multi 2,multi 4,multi 6,multi 8,multi 10"
223100,FORK PLATFORM 2.2.3 - 100,7/11/2023,Yes,item 10,"multi 1,multi 2,multi 3"
223101,FORK PLATFORM 2.2.3 - 101,6/11/2023,No,item 1,multi 1,multi 3,multi 5
223102,FORK PLATFORM 2.2.3 - 102,7/10/2023,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
223103,FORK PLATFORM 2.2.3 - 103,7/11/2023,Yes,item 3,"multi 1,multi 2,multi 3"
223104,FORK PLATFORM 2.2.3 - 104,6/11/2023,No,item 4,multi 1,multi 3,multi 5
223105,FORK PLATFORM 2.2.3 - 105,7/10/2023,Yes,item 5,"multi 2,multi 4,multi 6,multi 8,multi 10"
223106,FORK PLATFORM 2.2.3 - 106,7/11/2023,Yes,item 6,"multi 1,multi 2,multi 3"
223107,FORK PLATFORM 2.2.3 - 107,6/11/2023,No,item 7,multi 1,multi 3,multi 5
223108,FORK PLATFORM 2.2.3 - 108,7/10/2023,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
223109,FORK PLATFORM 2.2.3 - 109,7/11/2023,Yes,item 9,"multi 1,multi 2,multi 3"
223110,FORK PLATFORM 2.2.3 - 110,6/11/2023,No,item 10,multi 1,multi 3,multi 5
223111,FORK PLATFORM 2.2.3 - 111,7/10/2023,Yes,item 1,"multi 2,multi 4,multi 6,multi 8,multi 10"
223112,FORK PLATFORM 2.2.3 - 112,7/11/2023,Yes,item 2,"multi 1,multi 2,multi 3"
223113,FORK PLATFORM 2.2.3 - 113,6/11/2023,No,item 3,multi 1,multi 3,multi 5
223114,FORK PLATFORM 2.2.3 - 114,7/10/2023,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
223115,FORK PLATFORM 2.2.3 - 115,7/11/2023,Yes,item 5,"multi 1,multi 2,multi 3"
223116,FORK PLATFORM 2.2.3 - 116,6/11/2023,No,item 6,multi 1,multi 3,multi 5
223117,FORK PLATFORM 2.2.3 - 117,7/10/2023,Yes,item 7,"multi 2,multi 4,multi 6,multi 8,multi 10"
223118,FORK PLATFORM 2.2.3 - 118,7/11/2023,Yes,item 8,"multi 1,multi 2,multi 3"
223119,FORK PLATFORM 2.2.3 - 119,6/11/2023,No,item 9,multi 1,multi 3,multi 5
223120,FORK PLATFORM 2.2.3 - 120,7/10/2023,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
223121,FORK PLATFORM 2.2.3 - 121,7/11/2023,Yes,item 1,"multi 1,multi 2,multi 3"
223122,FORK PLATFORM 2.2.3 - 122,6/11/2023,No,item 2,multi 1,multi 3,multi 5
223123,FORK PLATFORM 2.2.3 - 123,7/10/2023,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
223124,FORK PLATFORM 2.2.3 - 124,7/11/2023,Yes,item 4,"multi 1,multi 2,multi 3"
223125,FORK PLATFORM 2.2.3 - 125,6/11/2023,No,item 5,multi 1,multi 3,multi 5
223126,FORK PLATFORM 2.2.3 - 126,7/10/2023,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
223127,FORK PLATFORM 2.2.3 - 127,7/11/2023,Yes,item 7,"multi 1,multi 2,multi 3"
223128,FORK PLATFORM 2.2.3 - 128,6/11/2023,No,item 8,multi 1,multi 3,multi 5
223129,FORK PLATFORM 2.2.3 - 129,7/10/2023,Yes,item 9,"multi 2,multi 4,multi 6,multi 8,multi 10"
223130,FORK PLATFORM 2.2.3 - 130,7/11/2023,Yes,item 10,"multi 1,multi 2,multi 3"
223131,FORK PLATFORM 2.2.3 - 131,6/11/2023,No,item 1,multi 1,multi 3,multi 5
223132,FORK PLATFORM 2.2.3 - 132,7/10/2023,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
223133,FORK PLATFORM 2.2.3 - 133,7/11/2023,Yes,item 3,"multi 1,multi 2,multi 3"
223134,FORK PLATFORM 2.2.3 - 134,6/11/2023,No,item 4,multi 1,multi 3,multi 5
223135,FORK PLATFORM 2.2.3 - 135,7/10/2023,Yes,item 5,"multi 2,multi 4,multi 6,multi 8,multi 10"
223136,FORK PLATFORM 2.2.3 - 136,7/11/2023,Yes,item 6,"multi 1,multi 2,multi 3"
223137,FORK PLATFORM 2.2.3 - 137,6/11/2023,No,item 7,multi 1,multi 3,multi 5
223138,FORK PLATFORM 2.2.3 - 138,7/10/2023,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
223139,FORK PLATFORM 2.2.3 - 139,7/11/2023,Yes,item 9,"multi 1,multi 2,multi 3"
223140,FORK PLATFORM 2.2.3 - 140,6/11/2023,No,item 10,multi 1,multi 3,multi 5
223141,FORK PLATFORM 2.2.3 - 141,7/10/2023,Yes,item 1,"multi 2,multi 4,multi 6,multi 8,multi 10"
223142,FORK PLATFORM 2.2.3 - 142,7/11/2023,Yes,item 2,"multi 1,multi 2,multi 3"
223143,FORK PLATFORM 2.2.3 - 143,6/11/2023,No,item 3,multi 1,multi 3,multi 5
223144,FORK PLATFORM 2.2.3 - 144,7/10/2023,Yes,item 4,"multi 1,multi 2,multi 3"
223145,FORK PLATFORM 2.2.3 - 145,7/11/2023,No,item 5,multi 1,multi 3,multi 5
223146,FORK PLATFORM 2.2.3 - 146,6/11/2023,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
223147,FORK PLATFORM 2.2.3 - 147,7/10/2023,Yes,item 7,"multi 1,multi 2,multi 3"
223148,FORK PLATFORM 2.2.3 - 148,7/11/2023,No,item 8,multi 1,multi 3,multi 5
223149,FORK PLATFORM 2.2.3 - 149,6/11/2023,Yes,item 9,"multi 2,multi 4,multi 6,multi 8,multi 10"
223150,FORK PLATFORM 2.2.3 - 150,7/10/2023,Yes,item 10,"multi 1,multi 2,multi 3"
223151,FORK PLATFORM 2.2.3 - 151,7/11/2023,No,item 1,multi 1,multi 3,multi 5
223152,FORK PLATFORM 2.2.3 - 152,6/11/2023,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
223153,FORK PLATFORM 2.2.3 - 153,7/10/2023,Yes,item 3,"multi 1,multi 2,multi 3"
223154,FORK PLATFORM 2.2.3 - 154,7/11/2023,No,item 4,multi 1,multi 3,multi 5
223155,FORK PLATFORM 2.2.3 - 155,6/11/2023,Yes,item 5,"multi 2,multi 4,multi 6,multi 8,multi 10"
223156,FORK PLATFORM 2.2.3 - 156,7/10/2023,Yes,item 6,"multi 1,multi 2,multi 3"
223157,FORK PLATFORM 2.2.3 - 157,7/11/2023,No,item 7,multi 1,multi 3,multi 5
223158,FORK PLATFORM 2.2.3 - 158,6/11/2023,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
223159,FORK PLATFORM 2.2.3 - 159,7/10/2023,Yes,item 9,"multi 1,multi 2,multi 3"
223160,FORK PLATFORM 2.2.3 - 160,7/11/2023,No,item 10,multi 1,multi 3,multi 5
223161,FORK PLATFORM 2.2.3 - 161,6/11/2023,Yes,item 1,"multi 2,multi 4,multi 6,multi 8,multi 10"
223162,FORK PLATFORM 2.2.3 - 162,7/10/2023,Yes,item 2,"multi 1,multi 2,multi 3"
223163,FORK PLATFORM 2.2.3 - 163,7/11/2023,No,item 3,multi 1,multi 3,multi 5
223164,FORK PLATFORM 2.2.3 - 164,6/11/2023,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
223165,FORK PLATFORM 2.2.3 - 165,7/10/2023,Yes,item 5,"multi 1,multi 2,multi 3"
223166,FORK PLATFORM 2.2.3 - 166,7/11/2023,No,item 6,multi 1,multi 3,multi 5
223167,FORK PLATFORM 2.2.3 - 167,6/11/2023,Yes,item 7,"multi 2,multi 4,multi 6,multi 8,multi 10"
223168,FORK PLATFORM 2.2.3 - 168,7/10/2023,Yes,item 8,"multi 1,multi 2,multi 3"
223169,FORK PLATFORM 2.2.3 - 169,7/11/2023,No,item 9,multi 1,multi 3,multi 5
223170,FORK PLATFORM 2.2.3 - 170,6/11/2023,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
223171,FORK PLATFORM 2.2.3 - 171,7/10/2023,Yes,item 1,"multi 1,multi 2,multi 3"
223172,FORK PLATFORM 2.2.3 - 172,7/11/2023,No,item 2,multi 1,multi 3,multi 5
223173,FORK PLATFORM 2.2.3 - 173,6/11/2023,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
223174,FORK PLATFORM 2.2.3 - 174,7/10/2023,Yes,item 4,"multi 1,multi 2,multi 3"
223175,FORK PLATFORM 2.2.3 - 175,7/11/2023,No,item 5,multi 1,multi 3,multi 5
223176,FORK PLATFORM 2.2.3 - 176,6/11/2023,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
223177,FORK PLATFORM 2.2.3 - 177,7/10/2023,Yes,item 7,"multi 1,multi 2,multi 3"
223178,FORK PLATFORM 2.2.3 - 178,7/11/2023,No,item 8,multi 1,multi 3,multi 5
223179,FORK PLATFORM 2.2.3 - 179,6/11/2023,Yes,item 9,"multi 2,multi 4,multi 6,multi 8,multi 10"
223180,FORK PLATFORM 2.2.3 - 180,7/10/2023,Yes,item 10,"multi 1,multi 2,multi 3"
223181,FORK PLATFORM 2.2.3 - 181,7/11/2023,No,item 1,multi 1,multi 3,multi 5
223182,FORK PLATFORM 2.2.3 - 182,6/11/2023,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
223183,FORK PLATFORM 2.2.3 - 183,7/10/2023,Yes,item 3,"multi 1,multi 2,multi 3"
223184,FORK PLATFORM 2.2.3 - 184,7/11/2023,No,item 4,multi 1,multi 3,multi 5
223185,FORK PLATFORM 2.2.3 - 185,6/11/2023,Yes,item 5,"multi 2,multi 4,multi 6,multi 8,multi 10"
223186,FORK PLATFORM 2.2.3 - 186,7/10/2023,Yes,item 6,"multi 1,multi 2,multi 3"
223187,FORK PLATFORM 2.2.3 - 187,7/11/2023,No,item 7,multi 1,multi 3,multi 5
223188,FORK PLATFORM 2.2.3 - 188,6/11/2023,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
223189,FORK PLATFORM 2.2.3 - 189,7/10/2023,Yes,item 9,"multi 1,multi 2,multi 3"
223190,FORK PLATFORM 2.2.3 - 190,7/11/2023,No,item 10,multi 1,multi 3,multi 5
223191,FORK PLATFORM 2.2.3 - 191,6/11/2023,Yes,item 1,"multi 2,multi 4,multi 6,multi 8,multi 10"
223192,FORK PLATFORM 2.2.3 - 192,7/10/2023,Yes,item 2,"multi 1,multi 2,multi 3"
223193,FORK PLATFORM 2.2.3 - 193,7/11/2023,No,item 3,multi 1,multi 3,multi 5
223194,FORK PLATFORM 2.2.3 - 194,6/11/2023,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
223195,FORK PLATFORM 2.2.3 - 195,7/10/2023,Yes,item 5,"multi 1,multi 2,multi 3"
223196,FORK PLATFORM 2.2.3 - 196,7/11/2023,No,item 6,multi 1,multi 3,multi 5
223197,FORK PLATFORM 2.2.3 - 197,6/11/2023,Yes,item 7,"multi 2,multi 4,multi 6,multi 8,multi 10"
223198,FORK PLATFORM 2.2.3 - 198,7/10/2023,Yes,item 8,"multi 1,multi 2,multi 3"
223199,FORK PLATFORM 2.2.3 - 199,7/11/2023,No,item 9,multi 1,multi 3,multi 5
223200,FORK PLATFORM 2.2.3 - 200,6/11/2023,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
223201,FORK PLATFORM 2.2.3 - 201,7/10/2023,Yes,item 1,"multi 1,multi 2,multi 3"
223202,FORK PLATFORM 2.2.3 - 202,7/11/2023,No,item 2,multi 1,multi 3,multi 5
223203,FORK PLATFORM 2.2.3 - 203,6/11/2023,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
223204,FORK PLATFORM 2.2.3 - 204,7/10/2023,Yes,item 4,"multi 1,multi 2,multi 3"
223205,FORK PLATFORM 2.2.3 - 205,7/11/2023,No,item 5,multi 1,multi 3,multi 5
223206,FORK PLATFORM 2.2.3 - 206,6/11/2023,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
223207,FORK PLATFORM 2.2.3 - 207,7/10/2023,Yes,item 7,"multi 1,multi 2,multi 3"
223208,FORK PLATFORM 2.2.3 - 208,7/11/2023,No,item 8,multi 1,multi 3,multi 5
223209,FORK PLATFORM 2.2.3 - 209,6/11/2023,Yes,item 9,"multi 2,multi 4,multi 6,multi 8,multi 10"
223210,FORK PLATFORM 2.2.3 - 210,7/10/2023,Yes,item 10,"multi 1,multi 2,multi 3"
223211,FORK PLATFORM 2.2.3 - 211,7/11/2023,No,item 1,multi 1,multi 3,multi 5
223212,FORK PLATFORM 2.2.3 - 212,6/11/2023,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
223213,FORK PLATFORM 2.2.3 - 213,7/10/2023,Yes,item 3,"multi 1,multi 2,multi 3"
223214,FORK PLATFORM 2.2.3 - 214,7/11/2023,No,item 4,multi 1,multi 3,multi 5
223215,FORK PLATFORM 2.2.3 - 215,6/11/2023,Yes,item 5,"multi 2,multi 4,multi 6,multi 8,multi 10"
223216,FORK PLATFORM 2.2.3 - 216,7/10/2023,Yes,item 6,"multi 1,multi 2,multi 3"
223217,FORK PLATFORM 2.2.3 - 217,7/11/2023,No,item 7,multi 1,multi 3,multi 5
223218,FORK PLATFORM 2.2.3 - 218,6/11/2023,Yes,item 8,"multi 2,multi 4,multi 6,multi 8,multi 10"
223219,FORK PLATFORM 2.2.3 - 219,7/10/2023,Yes,item 9,"multi 1,multi 2,multi 3"
223220,FORK PLATFORM 2.2.3 - 220,7/11/2023,No,item 10,multi 1,multi 3,multi 5
223221,FORK PLATFORM 2.2.3 - 221,6/11/2023,Yes,item 1,"multi 2,multi 4,multi 6,multi 8,multi 10"
223222,FORK PLATFORM 2.2.3 - 222,7/10/2023,Yes,item 2,"multi 1,multi 2,multi 3"
223223,FORK PLATFORM 2.2.3 - 223,7/11/2023,No,item 3,multi 1,multi 3,multi 5
223224,FORK PLATFORM 2.2.3 - 224,6/11/2023,Yes,item 4,"multi 2,multi 4,multi 6,multi 8,multi 10"
223225,FORK PLATFORM 2.2.3 - 225,7/10/2023,Yes,item 5,"multi 1,multi 2,multi 3"
223226,FORK PLATFORM 2.2.3 - 226,7/11/2023,No,item 6,multi 1,multi 3,multi 5
223227,FORK PLATFORM 2.2.3 - 227,6/11/2023,Yes,item 7,"multi 2,multi 4,multi 6,multi 8,multi 10"
223228,FORK PLATFORM 2.2.3 - 228,7/10/2023,Yes,item 8,"multi 1,multi 2,multi 3"
223229,FORK PLATFORM 2.2.3 - 229,7/11/2023,No,item 9,multi 1,multi 3,multi 5
223230,FORK PLATFORM 2.2.3 - 230,6/11/2023,Yes,item 10,"multi 2,multi 4,multi 6,multi 8,multi 10"
223231,FORK PLATFORM 2.2.3 - 231,7/10/2023,Yes,item 1,"multi 1,multi 2,multi 3"
223232,FORK PLATFORM 2.2.3 - 232,7/11/2023,No,item 2,multi 1,multi 3,multi 5
223233,FORK PLATFORM 2.2.3 - 233,6/11/2023,Yes,item 3,"multi 2,multi 4,multi 6,multi 8,multi 10"
223234,FORK PLATFORM 2.2.3 - 234,7/10/2023,Yes,item 4,"multi 1,multi 2,multi 3"
223235,FORK PLATFORM 2.2.3 - 235,7/11/2023,No,item 5,multi 1,multi 3,multi 5
223236,FORK PLATFORM 2.2.3 - 236,6/11/2023,Yes,item 6,"multi 2,multi 4,multi 6,multi 8,multi 10"
223237,FORK PLATFORM 2.2.3 - 237,7/10/2023,Yes,item 7,"multi 1,multi 2,multi 3"
223238,FORK PLATFORM 2.2.3 - 238,7/11/2023,No,item 8,multi 1,multi 3,multi 5
223239,FORK PLATFORM 2.2.3 - 239,6/11/2023,Yes,item 9,"multi 2,multi 4,multi 6,multi 8,multi 10"
223240,FORK PLATFORM 2.2.3 - 240,7/10/2023,Yes,item 10,"multi 1,multi 2,multi 3"
223241,FORK PLATFORM 2.2.3 - 241,7/11/2023,No,item 1,multi 1,multi 3,multi 5
223242,FORK PLATFORM 2.2.3 - 242,6/11/2023,Yes,item 2,"multi 2,multi 4,multi 6,multi 8,multi 10"
223243,FORK PLATFORM 2.2.3 - 243,7/10/2023,Yes,item 3,"multi 1,multi 2,multi 3"
