FORKID,BRAND,ENTER DATE,CHOICELIST_MULTI,CHOICELIST,FLAG
72043,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72044,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72045,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72046,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72047,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72048,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72049,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72050,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72051,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72052,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72053,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72054,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72055,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72056,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72057,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72058,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72059,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72060,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72061,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72062,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72063,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72064,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72065,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72066,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72067,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72068,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72069,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72070,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72071,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72072,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72073,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72074,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72075,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72076,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72077,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72078,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72079,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72080,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72081,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72082,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72083,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72084,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72085,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72086,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72087,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72088,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72089,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72090,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72091,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72092,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72093,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72094,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72095,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72096,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72097,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72098,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72099,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72100,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72101,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72102,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
72103,Clark forklift,2022-10-31,"item 1, item 2, item 3","IC Forkflift",Yes
